title,authors,year,venue,doi,url,citation_count,semantic_scholar_id,abstract,year_mean,year_std,year_zscore,global_z,percentile_bucket
Mitigating Unwanted Biases with Adversarial Learning,"B. Zhang, Blake Lemoine, Margaret Mitchell",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278779,https://www.semanticscholar.org/paper/c7330852a07170cd0e6990f5fbde5fca12b6ccd6,1587,c7330852a07170cd0e6990f5fbde5fca12b6ccd6,"Machine learning is a tool for building models that accurately represent input training data. When undesired biases concerning demographic groups are in the training data, well-trained models will reflect those biases. We present a framework for mitigating such biases by including a variable for the group of interest and simultaneously learning a predictor and an adversary. The input to the network X, here text or census data, produces a prediction Y, such as an analogy completion or income bracket, while the adversary tries to model a protected variable Z, here gender or zip code. The objective is to maximize the predictor's ability to predict Y while minimizing the adversary's ability to predict Z. Applied to analogy completion, this method results in accurate predictions that exhibit less evidence of stereotyping Z. When applied to a classification task using the UCI Adult (Census) Dataset, it results in a predictive model that does not lose much accuracy while achieving very close to equality of odds (Hardt, et al., 2016). The method is flexible and applicable to multiple definitions of fairness as well as a wide range of gradient-based learning models, including both regression and classification tasks.",90.46774193548389,228.93937330061112,6.5368059521132675,14.69611305471406,Top 5%
Fooling LIME and SHAP: Adversarial Attacks on Post hoc Explanation Methods,"Dylan Slack, Sophie Hilgard, Emily Jia, Sameer Singh, Himabindu Lakkaraju",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375830,https://www.semanticscholar.org/paper/653864b10564ab4712c07a3d4043a1d794b13c46,991,653864b10564ab4712c07a3d4043a1d794b13c46,"As machine learning black boxes are increasingly being deployed in domains such as healthcare and criminal justice, there is growing emphasis on building tools and techniques for explaining these black boxes in an interpretable manner. Such explanations are being leveraged by domain experts to diagnose systematic errors and underlying biases of black boxes. In this paper, we demonstrate that post hoc explanations techniques that rely on input perturbations, such as LIME and SHAP, are not reliable. Specifically, we propose a novel scaffolding technique that effectively hides the biases of any given classifier by allowing an adversarial entity to craft an arbitrary desired explanation. Our approach can be used to scaffold any biased classifier in such a way that its predictions on the input data distribution still remain biased, but the post hoc explanations of the scaffolded classifier look innocuous. Using extensive evaluation with multiple real world datasets (including COMPAS), we demonstrate how extremely biased (racist) classifiers crafted by our framework can easily fool popular explanation techniques such as LIME and SHAP into generating innocuous explanations which do not reflect the underlying biases.",87.5909090909091,155.04430902886364,5.826780077048225,9.05262612493588,Top 5%
Measuring and Mitigating Unintended Bias in Text Classification,"Lucas Dixon, John Li, Jeffrey Scott Sorensen, Nithum Thain, Lucy Vasserman",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278729,https://www.semanticscholar.org/paper/44fc8d79fb8e0f8c6c6f680179b5803a789c6227,865,44fc8d79fb8e0f8c6c6f680179b5803a789c6227,"We introduce and illustrate a new approach to measuring and mitigating unintended bias in machine learning models. Our definition of unintended bias is parameterized by a test set and a subset of input features. We illustrate how this can be used to evaluate text classifiers using a synthetic test set and a public corpus of comments annotated for toxicity from Wikipedia Talk pages. We also demonstrate how imbalances in training data can lead to unintended bias in the resulting models, and therefore potentially unfair applications. We use a set of common demographic identity terms as the subset of input features on which we measure bias. This technique permits analysis in the common scenario where demographic information on authors and readers is unavailable, so that bias mitigation must focus on the content of the text itself. The mitigation method we introduce is an unsupervised approach based on balancing the training dataset. We demonstrate that this approach reduces the unintended bias without compromising overall model quality.",90.46774193548389,228.93937330061112,3.383132603615145,7.859539961929081,Top 5%
Actionable Auditing: Investigating the Impact of Publicly Naming Biased Performance Results of Commercial AI Products,"Inioluwa Deborah Raji, Joy Buolamwini",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314244,https://www.semanticscholar.org/paper/5c5105eb4923932f6489b69a7651bff5cbcb77fe,648,5c5105eb4923932f6489b69a7651bff5cbcb77fe,"Although algorithmic auditing has emerged as a key strategy to expose systematic biases embedded in software platforms, we struggle to understand the real-world impact of these audits, as scholarship on the impact of algorithmic audits on increasing algorithmic fairness and transparency in commercial systems is nascent. To analyze the impact of publicly naming and disclosing performance results of biased AI systems, we investigate the commercial impact of Gender Shades, the first algorithmic audit of gender and skin type performance disparities in commercial facial analysis models. This paper 1) outlines the audit design and structured disclosure procedure used in the Gender Shades study, 2) presents new performance metrics from targeted companies IBM, Microsoft and Megvii (Face++) on the Pilot Parliaments Benchmark (PPB) as of August 2018, 3) provides performance results on PPB by non-target companies Amazon and Kairos and, 4) explores differences in company responses as shared through corporate communications that contextualize differences in performance on PPB. Within 7 months of the original audit, we find that all three targets released new API versions. All targets reduced accuracy disparities between males and females and darker and lighter-skinned subgroups, with the most significant update occurring for the darker-skinned female subgroup, that underwent a 17.7% - 30.4% reduction in error between audit periods. Minimizing these disparities led to a 5.72% to 8.3% reduction in overall error on the Pilot Parliaments Benchmark (PPB) for target corporation APIs. The overall performance of non-targets Amazon and Kairos lags significantly behind that of the targets, with error rates of 8.66% and 6.60% overall, and error rates of 31.37% and 22.50% for the darker female subgroup, respectively.",87.5909090909091,155.04430902886364,3.6145092613800034,5.804780458972931,Top 5%
Multiaccuracy: Black-Box Post-Processing for Fairness in Classification,"Michael P. Kim, Amirata Ghorbani, James Y. Zou",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314287,https://www.semanticscholar.org/paper/641076d8786511559cd31b96fc2c93426120ad47,377,641076d8786511559cd31b96fc2c93426120ad47,"Prediction systems are successfully deployed in applications ranging from disease diagnosis, to predicting credit worthiness, to image recognition. Even when the overall accuracy is high, these systems may exhibit systematic biases that harm specific subpopulations; such biases may arise inadvertently due to underrepresentation in the data used to train a machine-learning model, or as the result of intentional malicious discrimination. We develop a rigorous framework of *multiaccuracy* auditing and post-processing to ensure accurate predictions across *identifiable subgroups*. Our algorithm, MULTIACCURACY-BOOST, works in any setting where we have black-box access to a predictor and a relatively small set of labeled data for auditing; importantly, this black-box framework allows for improved fairness and accountability of predictions, even when the predictor is minimally transparent. We prove that MULTIACCURACY-BOOST converges efficiently and show that if the initial model is accurate on an identifiable subgroup, then the post-processed model will be also. We experimentally demonstrate the effectiveness of the approach to improve the accuracy among minority subgroups in diverse applications (image classification, finance, population health). Interestingly, MULTIACCURACY-BOOST can improve subpopulation accuracy (e.g. for ""black women"") even when the sensitive features (e.g. ""race"", ""gender"") are not given to the algorithm explicitly.",90.46774193548389,228.93937330061112,1.2515639137715384,3.238698314728154,Top 5%
Saving Face: Investigating the Ethical Concerns of Facial Recognition Auditing,"Inioluwa Deborah Raji, Timnit Gebru, Margaret Mitchell, Joy Buolamwini, Joonseok Lee, Emily L. Denton",2020,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3375627.3375820,https://www.semanticscholar.org/paper/22a0e7c06f1e64729211177f80d1b9dcaab3c706,311,22a0e7c06f1e64729211177f80d1b9dcaab3c706,"Although essential to revealing biased performance, well intentioned attempts at algorithmic auditing can have effects that may harm the very populations these measures are meant to protect. This concern is even more salient while auditing biometric systems such as facial recognition, where the data is sensitive and the technology is often used in ethically questionable manners. We demonstrate a set of fiveethical concerns in the particular case of auditing commercial facial processing technology, highlighting additional design considerations and ethical tensions the auditor needs to be aware of so as not exacerbate or complement the harms propagated by the audited system. We go further to provide tangible illustrations of these concerns, and conclude by reflecting on what these concerns mean for the role of the algorithmic audit and the fundamental product limitations they reveal.",50.56,77.12710288867332,3.3767636828771317,2.613748419819832,Top 5%
The Role and Limits of Principles in AI Ethics: Towards a Focus on Tensions,"Jess Whittlestone, Rune Nyrup, A. Alexandrova, S. Cave",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314289,https://www.semanticscholar.org/paper/304f2d1cf97ac8fb071b5357e97691d64f4e8f6a,309,304f2d1cf97ac8fb071b5357e97691d64f4e8f6a,"The last few years have seen a proliferation of principles for AI ethics. There is substantial overlap between different sets of principles, with widespread agreement that AI should be used for the common good, should not be used to harm people or undermine their rights, and should respect widely held values such as fairness, privacy, and autonomy. While articulating and agreeing on principles is important, it is only a starting point. Drawing on comparisons with the field of bioethics, we highlight some of the limitations of principles: in particular, they are often too broad and high-level to guide ethics in practice. We suggest that an important next step for the field of AI ethics is to focus on exploring the tensions that inevitably arise as we try to implement principles in practice. By explicitly recognising these tensions we can begin to make decisions about how they should be resolved in specific cases, and develop frameworks and guidelines for AI ethics that are rigorous and practically relevant. We discuss some different specific ways that tensions arise in AI ethics, and what processes might be needed to resolve them.",87.5909090909091,155.04430902886364,1.428037522279341,2.5948105442165494,Top 5%
Faithful and Customizable Explanations of Black Box Models,"Himabindu Lakkaraju, Ece Kamar, R. Caruana, J. Leskovec",2019,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3314229,https://www.semanticscholar.org/paper/dc016a1c0317b8e4b01716b570e700549eafc43a,292,dc016a1c0317b8e4b01716b570e700549eafc43a,"As predictive models increasingly assist human experts (e.g., doctors) in day-to-day decision making, it is crucial for experts to be able to explore and understand how such models behave in different feature subspaces in order to know if and when to trust them. To this end, we propose Model Understanding through Subspace Explanations (MUSE), a novel model agnostic framework which facilitates understanding of a given black box model by explaining how it behaves in subspaces characterized by certain features of interest. Our framework provides end users (e.g., doctors) with the flexibility of customizing the model explanations by allowing them to input the features of interest. The construction of explanations is guided by a novel objective function that we propose to simultaneously optimize for fidelity to the original model, unambiguity and interpretability of the explanation. More specifically, our objective allows us to learn, with optimality guarantees, a small number of compact decision sets each of which captures the behavior of a given black box model in unambiguous, well-defined regions of the feature space. Experimental evaluation with real-world datasets and user studies demonstrate that our approach can generate customizable, highly compact, easy-to-understand, yet accurate explanations of various kinds of predictive models compared to state-of-the-art baselines.",87.5909090909091,155.04430902886364,1.3183914468672135,2.4338386015886484,Top 5%
Sociotechnical Harms of Algorithmic Systems: Scoping a Taxonomy for Harm Reduction,"R. Shelby, Shalaleh Rismani, Kathryn Henne, AJung Moon, Negar Rostamzadeh, P. Nicholas, N'Mah Yilla-Akbari, Jess Gallegos, A. Smart, Emilio Garcia, Gurleen Virk",2022,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3600211.3604673,https://www.semanticscholar.org/paper/bd6c0af91401c208ef478376c493408b69f51b8d,292,bd6c0af91401c208ef478376c493408b69f51b8d,"Understanding the landscape of potential harms from algorithmic systems enables practitioners to better anticipate consequences of the systems they build. It also supports the prospect of incorporating controls to help minimize harms that emerge from the interplay of technologies and social and cultural dynamics. A growing body of scholarship has identified a wide range of harms across different algorithmic technologies. However, computing research and practitioners lack a high level and synthesized overview of harms from algorithmic systems. Based on a scoping review of computing research (n=172), we present an applied taxonomy of sociotechnical harms to support a more systematic surfacing of potential harms in algorithmic systems. The final taxonomy builds on and refers to existing taxonomies, classifications, and terminologies. Five major themes related to sociotechnical harms — representational, allocative, quality-of-service, interpersonal harms, and social system/societal harms — and sub-themes are presented along with a description of these categories. We conclude with a discussion of challenges and opportunities for future research.",26.925925925925927,39.8625067506353,6.649709104655079,2.4338386015886484,Top 5%
Counterfactual Fairness in Text Classification through Robustness,"Sahaj Garg, Vincent Perot, Nicole Limtiaco, Ankur Taly, Ed H. Chi, Alex Beutel",2018,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3306618.3317950,https://www.semanticscholar.org/paper/70e28eb8ee40cf5caa704ac7f87940c0818ba28e,282,70e28eb8ee40cf5caa704ac7f87940c0818ba28e,"In this paper, we study counterfactual fairness in text classification, which asks the question: How would the prediction change if the sensitive attribute referenced in the example were different? Toxicity classifiers demonstrate a counterfactual fairness issue by predicting that ""Some people are gay"" is toxic while ""Some people are straight"" is nontoxic. We offer a metric, counterfactual token fairness (CTF), for measuring this particular form of fairness in text classifiers, and describe its relationship with group fairness. Further, we offer three approaches, blindness, counterfactual augmentation, and counterfactual logit pairing (CLP), for optimizing counterfactual token fairness during training, bridging the robustness and fairness literature. Empirically, we find that blindness and CLP address counterfactual token fairness. The methods do not harm classifier performance, and have varying tradeoffs with group fairness. These approaches, both for measurement and optimization, provide a new path forward for addressing fairness concerns in text classification.",90.46774193548389,228.93937330061112,0.8366068942323118,2.339149223572236,Top 5%
